t_ms,s,thr
100.0,959,518.5
150.0,959,518.5
200.0,959,518.5
250.0,959,518.5
300.0,959,518.5
350.0,959,518.5
400.0,959,518.5
450.0,959,518.5
500.0,959,518.5
550.0,959,518.5
600.0,959,518.5
650.0,959,518.5
700.0,958,518.5
750.0,959,518.5
800.0,958,518.5
850.0,958,518.5
900.0,958,518.5
950.0,959,518.5
1000.0,959,518.5
1050.0,959,518.5
1100.0,959,518.5
1150.0,959,518.5
1200.0,958,518.5
1250.0,958,518.5
1300.0,958,518.5
1350.0,959,518.5
1400.0,958,518.5
1451.0,957,518.5
1501.0,956,518.5
1551.0,956,518.5
1601.0,957,518.5
1651.0,956,518.5
1701.0,956,518.5
1751.0,957,518.5
1801.0,956,518.5
1851.0,956,518.5
1901.0,957,518.5
1951.0,956,518.5
2001.0,957,518.5
2051.0,956,518.5
2101.0,956,518.5
2151.0,956,518.5
2201.0,956,518.5
2251.0,957,518.5
2301.0,956,518.5
2351.0,956,518.5
2401.0,956,518.5
2451.0,957,518.5
2501.0,956,518.5
2551.0,957,518.5
2601.0,956,518.5
2651.0,957,518.5
2701.0,957,518.5
2751.0,956,518.5
2801.0,956,518.5
2851.0,956,518.5
2902.0,956,518.5
2952.0,956,518.5
3002.0,957,518.5
3052.0,956,518.5
3102.0,957,518.5
3152.0,956,518.5
3202.0,956,518.5
3252.0,957,518.5
3302.0,956,518.5
3352.0,957,518.5
3402.0,956,518.5
3452.0,956,518.5
3502.0,957,518.5
3552.0,956,518.5
3602.0,957,518.5
3652.0,956,518.5
3702.0,956,518.5
3752.0,956,518.5
3802.0,956,518.5
3852.0,956,518.5
3902.0,956,518.5
3952.0,956,518.5
4002.0,956,518.5
4052.0,956,518.5
4102.0,956,518.5
4152.0,956,518.5
4202.0,956,518.5
4252.0,956,518.5
4302.0,956,518.5
4352.0,956,518.5
4402.0,956,518.5
4452.0,956,518.5
4502.0,956,518.5
4552.0,956,518.5
4602.0,957,518.5
4652.0,956,518.5
4702.0,956,518.5
4752.0,956,518.5
4802.0,956,518.5
4852.0,956,518.5
4902.0,956,518.5
4952.0,956,518.5
5002.0,955,518.5
5052.0,955,518.5
5102.0,955,518.5
5152.0,956,518.5
5202.0,955,518.5
5252.0,955,518.5
5302.0,955,518.5
5352.0,955,518.5
5402.0,955,518.5
5452.0,955,518.5
5502.0,956,518.5
5552.0,955,518.5
5602.0,955,518.5
5652.0,955,518.5
5702.0,956,518.5
5752.0,955,518.5
5803.0,956,518.5
5853.0,955,518.5
5903.0,955,518.5
5953.0,956,518.5
6003.0,956,518.5
6053.0,956,518.5
6103.0,955,518.5
6153.0,956,518.5
6203.0,956,518.5
6253.0,956,518.5
6303.0,955,518.5
6353.0,955,518.5
6403.0,955,518.5
6453.0,955,518.5
6503.0,956,518.5
6553.0,956,518.5
6603.0,955,518.5
6653.0,956,518.5
6703.0,956,518.5
6753.0,956,518.5
6803.0,955,518.5
6853.0,955,518.5
6903.0,956,518.5
6953.0,956,518.5
7003.0,956,518.5
7053.0,955,518.5
7103.0,955,518.5
7153.0,955,518.5
7203.0,955,518.5
7254.0,956,518.5
7304.0,955,518.5
7354.0,955,518.5
7404.0,956,518.5
7454.0,956,518.5
7504.0,956,518.5
7554.0,955,518.5
7604.0,955,518.5
7654.0,956,518.5
7704.0,956,518.5
7754.0,956,518.5
7804.0,956,518.5
7854.0,955,518.5
7904.0,955,518.5
7954.0,955,518.5
8004.0,955,518.5
8054.0,956,518.5
8104.0,955,518.5
8154.0,955,518.5
8204.0,955,518.5
8254.0,956,518.5
8304.0,955,518.5
8354.0,956,518.5
8404.0,955,518.5
8454.0,955,518.5
8504.0,956,518.5
8554.0,956,518.5
8604.0,955,518.5
8654.0,955,518.5
8704.0,955,518.5
8754.0,955,518.5
8804.0,955,518.5
8854.0,955,518.5
8904.0,955,518.5
8954.0,955,518.5
9004.0,956,518.5
9054.0,955,518.5
9104.0,955,518.5
9154.0,955,518.5
9204.0,955,518.5
9254.0,955,518.5
9304.0,955,518.5
9354.0,955,518.5
9404.0,955,518.5
9454.0,956,518.5
9504.0,956,518.5
9554.0,956,518.5
9604.0,955,518.5
9654.0,955,518.5
9704.0,955,518.5
9754.0,955,518.5
9804.0,956,518.5
9854.0,955,518.5
9904.0,955,518.5
9954.0,955,518.5
10004.0,955,518.5
10054.0,955,518.5
10104.0,955,518.5
10155.0,955,518.5
10205.0,955,518.5
10255.0,955,518.5
10305.0,956,518.5
10355.0,956,518.5
10405.0,955,518.5
10455.0,956,518.5
10505.0,955,518.5
10555.0,956,518.5
10605.0,956,518.5
10655.0,956,518.5
10705.0,955,518.5
10755.0,955,518.5
10805.0,956,518.5
10855.0,955,518.5
10905.0,955,518.5
10955.0,955,518.5
11005.0,956,518.5
11055.0,956,518.5
11105.0,956,518.5
11155.0,956,518.5
11205.0,956,518.5
11255.0,955,518.5
11305.0,956,518.5
11355.0,956,518.5
11405.0,956,518.5
11455.0,956,518.5
11505.0,956,518.5
11555.0,956,518.5
11606.0,956,518.5
11656.0,956,518.5
11706.0,957,518.5
11756.0,957,518.5
11806.0,958,518.5
11856.0,958,518.5
11906.0,958,518.5
11956.0,957,518.5
12006.0,957,518.5
12056.0,957,518.5
12106.0,957,518.5
